"class","Ce","LCOMCK","LCOMHS","LCOMPFI","LCOMTC","NOF","WMC","line.coverage","instructions.coverage","branche.coverage","complexity.coverage","method.coverage","mutants.score"
"org:apache:commons:math:ode:nonstiff:AdamsMoultonIntegrator",13,0,0,0,0,0,23,0.9270833333333334,0.9245689655172413,0.9117647058823529,0.85,1.0,0.61
"org:apache:commons:math:ode:nonstiff:DormandPrince853StepInterpolator",11,0,38,38,109,3,31,0.9823008849557522,0.9916259595254711,0.9047619047619048,0.8709677419354839,1.0,0.95
"org:apache:commons:math:ode:nonstiff:EmbeddedRungeKuttaIntegrator",13,3,89,42,475,9,32,1.0,1.0,0.9827586206896551,0.9736842105263158,1.0,1.0
"org:apache:commons:math:ode:nonstiff:GraggBulirschStoerIntegrator",13,0,92,60,1008,19,117,0.9793510324483776,0.9863013698630136,0.8900709219858156,0.8,1.0,0.79
"org:apache:commons:math:ode:nonstiff:GraggBulirschStoerStepInterpolator",10,0,55,57,351,7,38,0.9338235294117647,0.9345172031076582,0.7413793103448276,0.6410256410256411,1.0,0.92
"org:apache:commons:math:ode:nonstiff:RungeKuttaIntegrator",13,0,0,0,0,5,19,1.0,1.0,0.95,0.9090909090909091,1.0,1.0
"org:apache:commons:math:ode:sampling:AbstractStepInterpolator",10,0,58,50,581,10,32,0.9827586206896551,0.9619952494061758,0.7307692307692307,0.7741935483870968,1.0,1.0
"org:apache:commons:math:optimization:MultiStartDifferentiableMultivariateRealOptimizer",14,18,89,61,356,9,18,0.8478260869565217,0.8232323232323232,0.75,0.8125,0.9166666666666666,0.78
"org:apache:commons:math:optimization:MultiStartDifferentiableMultivariateVectorialOptimizer",15,18,89,61,356,9,18,0.9130434782608695,0.935,1.0,0.875,0.8333333333333334,0.74
"org:apache:commons:math:optimization:MultiStartMultivariateRealOptimizer",14,12,88,60,335,8,17,0.7619047619047619,0.7458563535911602,0.625,0.5333333333333333,0.5454545454545454,0.8
"org:apache:commons:math:optimization:MultiStartUnivariateRealOptimizer",12,18,89,65,267,9,34,0.7555555555555555,0.7733333333333333,0.8235294117647058,0.6756756756756757,0.7,0.62
"org:apache:commons:math:optimization:SimpleRealPointChecker",6,0,0,0,0,2,5,0.75,0.8656716417910447,1.0,0.8333333333333334,0.6666666666666666,0.36
"org:apache:commons:math:optimization:SimpleScalarValueChecker",6,0,0,0,0,2,3,1.0,1.0,1.0,1.0,1.0,0.92
"org:apache:commons:math:optimization:SimpleVectorialPointChecker",6,0,0,0,0,2,5,0.7222222222222222,0.835820895522388,0.6666666666666666,0.5,0.6666666666666666,0.35
"org:apache:commons:math:optimization:SimpleVectorialValueChecker",6,0,0,0,0,2,5,1.0,1.0,1.0,1.0,1.0,0.76
"org:apache:commons:math:optimization:direct:DirectSearchOptimizer",18,38,86,88,220,8,43,0.93,0.8514285714285714,0.86,0.7857142857142857,0.8823529411764706,1.0
"org:apache:commons:math:optimization:direct:MultiDirectional",10,0,0,0,0,2,12,1.0,1.0,1.0,1.0,1.0,0.66
"org:apache:commons:math:optimization:direct:NelderMead",7,0,0,0,0,4,18,0.9846153846153847,0.9973190348525469,0.96875,0.9473684210526315,1.0,0.87
"org:apache:commons:math:optimization:fitting:CurveFitter",13,0,50,83,0,2,12,0.8181818181818182,0.8969072164948454,1.0,0.75,0.7142857142857143,0.92
"org:apache:commons:math:optimization:fitting:PolynomialFitter",9,0,50,50,0,2,8,0.7777777777777778,0.8974358974358975,1.0,1.0,1.0,0.95
"org:apache:commons:math:optimization:general:AbstractLeastSquaresOptimizer",17,31,86,74,801,17,34,0.945054945054945,0.9216417910447762,0.9333333333333333,0.8484848484848485,0.8333333333333334,1.0
"org:apache:commons:math:optimization:general:AbstractScalarDifferentiableOptimizer",15,23,89,80,362,10,16,0.8484848484848485,0.7795275590551181,0.5,0.6875,0.7857142857142857,1.0
"org:apache:commons:math:optimization:general:GaussNewtonOptimizer",14,0,0,0,0,1,11,1.0,0.9736842105263158,0.9375,0.9,1.0,0.9
"org:apache:commons:math:optimization:general:LevenbergMarquardtOptimizer",8,0,65,56,686,12,97,0.9817073170731707,0.9738271604938271,0.9081632653061225,0.8611111111111112,1.0,0.88
"org:apache:commons:math:optimization:general:NonLinearConjugateGradientOptimizer",16,0,25,25,0,4,32,0.8918918918918919,0.9197860962566845,0.85,0.7692307692307693,0.8333333333333334,0.74
"org:apache:commons:math:optimization:linear:SimplexSolver",11,0,0,0,0,1,25,1.0,1.0,1.0,1.0,1.0,0.76
"org:apache:commons:math:optimization:linear:SimplexTableau",29,39,80,70,343,9,78,0.961038961038961,0.9535822401614531,0.9137931034482759,0.8539325842696629,0.9032258064516129,0.83
"org:apache:commons:math:optimization:univariate:AbstractUnivariateRealOptimizer",9,15,90,97,125,5,12,1.0,1.0,1.0,1.0,1.0,1.0
"org:apache:commons:math:optimization:univariate:BrentOptimizer",7,0,0,0,0,0,22,0.9324324324324325,0.8717948717948718,0.8125,0.7931034482758621,0.8,0.54
"org:apache:commons:math:random:AbstractRandomGenerator",8,0,0,0,0,1,21,0.8085106382978723,0.8,0.7727272727272727,0.7272727272727273,0.8181818181818182,1.0
"org:apache:commons:math:random:BitsStreamGenerator",9,0,0,0,0,1,15,1.0,1.0,1.0,1.0,1.0,1.0
"org:apache:commons:math:random:EmpiricalDistributionImpl",25,23,82,76,365,9,40,0.8064516129032258,0.86892177589852,0.85,0.8333333333333334,0.9285714285714286,0.78
"org:apache:commons:math:random:MersenneTwister",4,0,42,71,0,2,22,0.972972972972973,0.991701244813278,0.9642857142857143,0.9565217391304348,1.0,0.93
"org:apache:commons:math:random:RandomDataImpl",17,3,58,100,99,2,70,0.9514563106796117,0.9559808612440192,0.9361702127659575,0.9,0.9565217391304348,0.72
"org:apache:commons:math:random:ValueServer",13,35,81,89,195,7,40,0.9078947368421053,0.895774647887324,0.92,0.9230769230769231,0.9583333333333334,0.62
"org:apache:commons:math:special:Erf",3,0,0,0,0,0,3,0.6666666666666666,0.85,1.0,0.6666666666666666,0.5,0.91
"org:apache:commons:math:stat:Frequency",21,0,0,0,0,1,61,0.8818897637795275,0.8918367346938776,0.782608695652174,0.7894736842105263,0.8823529411764706,0.73
"org:apache:commons:math:stat:clustering:KMeansPlusPlusClusterer",28,0,0,0,0,1,17,1.0,0.9913419913419913,0.9166666666666666,0.8823529411764706,1.0,0.52
"org:apache:commons:math:stat:descriptive:AbstractUnivariateStatistic",5,0,0,0,0,0,16,0.9032258064516129,0.8511904761904762,0.8571428571428571,0.7777777777777778,1.0,1.0
"org:apache:commons:math:stat:descriptive:summary:Product",6,0,25,40,7,2,16,0.9166666666666666,0.9555555555555556,0.9,0.875,0.9090909090909091,0.87
"org:apache:commons:math:stat:descriptive:summary:Sum",5,0,25,40,7,2,16,0.8888888888888888,0.8962962962962963,0.9,0.8125,0.8181818181818182,0.8
"org:apache:commons:math:stat:descriptive:summary:SumOfLogs",5,0,13,20,0,2,12,0.896551724137931,0.9361702127659575,1.0,0.9166666666666666,0.8888888888888888,0.87
"org:apache:commons:math:stat:descriptive:summary:SumOfSquares",5,0,25,40,7,2,12,0.896551724137931,0.941747572815534,1.0,0.9166666666666666,0.8888888888888888,1.0
"org:apache:commons:math:stat:inference:ChiSquareTestImpl",10,0,0,0,0,1,50,0.968,0.9365269461077844,0.9024390243902439,0.8620689655172413,1.0,0.88
"org:apache:commons:math:stat:inference:TestUtils",15,0,0,0,0,0,41,0.66,0.7794117647058824,1.0,0.7142857142857143,0.7142857142857143,0.58
"org:apache:commons:math:stat:regression:AbstractMultipleLinearRegression",8,0,0,0,0,2,20,0.9523809523809523,0.9176029962546817,0.9230769230769231,0.88,0.9166666666666666,1.0
"org:apache:commons:math:stat:regression:GLSMultipleLinearRegression",6,0,0,0,0,2,7,0.875,0.8189655172413793,0.5,0.75,0.8571428571428571,0.25
"org:apache:commons:math:stat:regression:OLSMultipleLinearRegression",9,0,0,0,0,1,10,1.0,1.0,1.0,1.0,1.0,0.93
"org:apache:commons:math:util:MathUtils",15,0,0,0,0,0,232,0.9954648526077098,0.9964028776978417,0.9748110831234257,0.9588014981273408,0.9846153846153847,0.92
"org:apache:commons:math:ArgumentOutsideDomainException",3,0,0,0,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0
"org:apache:commons:math:ConvergenceException",5,0,0,0,0,0,4,1.0,1.0,1.0,1.0,1.0,1.0
"org:apache:commons:math:DimensionMismatchException",3,1,100,100,100,2,3,1.0,1.0,1.0,1.0,1.0,0.86
"org:apache:commons:math:DuplicateSampleAbscissaException",5,0,0,0,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
"org:apache:commons:math:FunctionEvaluationException",7,0,0,0,0,1,9,1.0,1.0,1.0,1.0,1.0,1.0
"org:apache:commons:math:MathConfigurationException",6,0,0,0,0,0,4,1.0,1.0,1.0,1.0,1.0,1.0
"org:apache:commons:math:MathException",11,0,50,67,25,2,17,0.9142857142857143,0.8814814814814815,0.625,0.75,0.9166666666666666,0.95
"org:apache:commons:math:MathRuntimeException",32,0,50,67,25,2,29,0.42,0.4930875576036866,0.25,0.5357142857142857,0.625,0.92
"org:apache:commons:math:MaxEvaluationsExceededException",5,0,0,0,0,1,3,0.42857142857142855,0.56,1.0,0.3333333333333333,0.3333333333333333,0.29
"org:apache:commons:math:MaxIterationsExceededException",5,0,0,0,0,1,3,1.0,1.0,1.0,1.0,1.0,1.0
"org:apache:commons:math:MessagesResources_fr",2,0,0,0,0,0,2,1.0,1.0,1.0,1.0,1.0,0.5
"org:apache:commons:math:analysis:BinaryFunction",13,0,0,0,0,0,8,1.0,1.0,1.0,1.0,1.0,1.0
"org:apache:commons:math:analysis:ComposableFunction",43,0,0,0,0,0,40,1.0,1.0,1.0,1.0,1.0,1.0
"org:apache:commons:math:analysis:interpolation:BicubicSplineFunction",3,0,0,0,0,1,4,0.9259259259259259,0.8406374501992032,0.5,0.3333333333333333,1.0,0.8
"org:apache:commons:math:analysis:interpolation:BicubicSplineInterpolatingFunction",6,0,0,0,0,3,22,0.9166666666666666,0.9576427255985267,0.8095238095238095,0.6923076923076923,1.0,0.79
"org:apache:commons:math:analysis:interpolation:DividedDifferenceInterpolator",8,0,0,0,0,0,5,1.0,1.0,1.0,1.0,1.0,0.84
"org:apache:commons:math:analysis:interpolation:LoessInterpolator",10,0,0,0,0,3,36,0.9491525423728814,0.9297994269340975,0.9333333333333333,0.8536585365853658,0.8181818181818182,0.85
"org:apache:commons:math:analysis:interpolation:MicrosphereInterpolatingFunction",16,0,50,50,100,4,21,0.926829268292683,0.9106382978723404,0.7916666666666666,0.6666666666666666,1.0,0.66
"org:apache:commons:math:analysis:interpolation:MicrosphereInterpolator",9,0,50,50,0,2,7,0.875,0.6865671641791045,0.5,0.7142857142857143,1.0,0.68
"org:apache:commons:math:analysis:interpolation:NevilleInterpolator",7,0,0,0,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0
"org:apache:commons:math:analysis:interpolation:SplineInterpolator",6,0,0,0,0,0,9,0.9743589743589743,0.9591836734693877,0.9375,0.9,1.0,0.94
"org:apache:commons:math:analysis:polynomials:PolynomialFunction",10,0,0,0,0,1,42,0.8279569892473119,0.8462998102466793,0.7857142857142857,0.7209302325581395,0.8666666666666667,0.8
"org:apache:commons:math:analysis:polynomials:PolynomialFunctionLagrangeForm",9,0,67,69,130,4,29,0.8953488372093024,0.8631386861313869,0.8,0.7586206896551724,0.7777777777777778,0.82
"org:apache:commons:math:analysis:polynomials:PolynomialFunctionNewtonForm",7,0,67,69,130,4,16,0.8372093023255814,0.85546875,0.8125,0.7058823529411765,0.7777777777777778,0.89
"org:apache:commons:math:analysis:polynomials:PolynomialSplineFunction",8,0,40,50,8,3,17,1.0,1.0,1.0,1.0,1.0,0.94
"org:apache:commons:math:analysis:polynomials:PolynomialsUtils",11,0,0,0,0,0,11,0.9607843137254902,0.972027972027972,1.0,0.9166666666666666,0.875,0.93
"org:apache:commons:math:analysis:solvers:BrentSolver",8,0,0,0,0,0,32,0.9142857142857143,0.9309701492537313,0.9107142857142857,0.7837837837837838,0.6666666666666666,0.98
"org:apache:commons:math:analysis:solvers:LaguerreSolver",12,0,0,0,0,1,35,0.8512396694214877,0.8325434439178515,0.7037037037037037,0.6052631578947368,0.7272727272727273,0.68
"org:apache:commons:math:analysis:solvers:MullerSolver",8,0,0,0,0,0,33,0.819047619047619,0.8303425774877651,0.7096774193548387,0.5897435897435898,0.75,0.77
"org:apache:commons:math:analysis:solvers:NewtonSolver",8,0,0,0,0,0,9,0.8181818181818182,0.7872340425531915,0.75,0.75,0.8333333333333334,0.94
"org:apache:commons:math:analysis:solvers:RiddersSolver",7,0,0,0,0,0,19,0.7377049180327869,0.6793893129770993,0.5,0.42105263157894735,0.6666666666666666,0.76
"org:apache:commons:math:analysis:solvers:SecantSolver",7,0,0,0,0,0,14,0.9183673469387755,0.7945205479452054,0.9,0.75,0.6666666666666666,0.85
"org:apache:commons:math:analysis:solvers:UnivariateRealSolverFactory",3,0,0,0,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0
"org:apache:commons:math:analysis:solvers:UnivariateRealSolverFactoryImpl",6,0,0,0,0,0,6,1.0,1.0,1.0,1.0,1.0,1.0
"org:apache:commons:math:analysis:solvers:UnivariateRealSolverImpl",8,16,89,98,104,6,21,0.8,0.7894736842105263,0.8181818181818182,0.7777777777777778,0.875,1.0
"org:apache:commons:math:analysis:solvers:UnivariateRealSolverUtils",8,0,0,0,0,0,13,0.9032258064516129,0.7393364928909952,0.8181818181818182,0.7222222222222222,0.8571428571428571,0.77
"org:apache:commons:math:complex:ComplexField",5,0,0,0,0,0,5,1.0,1.0,1.0,1.0,1.0,0.0
"org:apache:commons:math:complex:ComplexFormat",16,3,100,100,117,3,36,0.8068181818181818,0.8308605341246291,0.8333333333333334,0.7837837837837838,0.8095238095238095,0.65
"org:apache:commons:math:complex:ComplexUtils",3,0,0,0,0,0,3,0.6,0.896551724137931,1.0,0.6666666666666666,0.5,1.0
"org:apache:commons:math:distribution:BinomialDistributionImpl",7,0,50,86,47,2,19,0.8,0.7152777777777778,0.8333333333333334,0.7142857142857143,0.75,0.9
"org:apache:commons:math:distribution:HypergeometricDistributionImpl",6,0,43,52,70,3,31,0.8153846153846154,0.8087431693989071,0.75,0.6875,0.8,0.9
"org:apache:commons:math:distribution:PascalDistributionImpl",7,0,40,67,25,2,18,0.7647058823529411,0.7006802721088435,0.7857142857142857,0.631578947368421,0.6666666666666666,0.93
"org:apache:commons:math:distribution:PoissonDistributionImpl",9,0,75,74,119,4,19,0.6739130434782609,0.7032967032967034,0.9166666666666666,0.75,0.7142857142857143,0.77
"org:apache:commons:math:distribution:SaddlePointExpansion",3,0,0,0,0,0,12,0.9285714285714286,0.9509043927648578,0.9375,0.8461538461538461,0.8,0.68
"org:apache:commons:math:distribution:ZipfDistributionImpl",7,0,38,60,17,2,18,0.75,0.7322834645669292,0.8571428571428571,0.6842105263157895,0.6666666666666666,0.84
"org:apache:commons:math:estimation:AbstractEstimator",11,1,75,54,657,10,24,1.0,1.0,1.0,1.0,1.0,1.0
"org:apache:commons:math:estimation:EstimatedParameter",6,0,60,72,58,3,8,1.0,1.0,1.0,1.0,1.0,1.0
"org:apache:commons:math:estimation:EstimationException",4,0,0,0,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0
"org:apache:commons:math:estimation:GaussNewtonEstimator",12,0,0,0,0,2,13,0.8222222222222222,0.9297520661157025,0.9444444444444444,0.7142857142857143,0.4,0.79
"org:apache:commons:math:estimation:LevenbergMarquardtEstimator",8,0,65,56,686,12,97,0.9827089337175793,0.9747979077508322,0.9081632653061225,0.8611111111111112,1.0,0.89
"org:apache:commons:math:estimation:SimpleEstimationProblem",8,0,50,83,46,2,8,1.0,1.0,1.0,1.0,1.0,0.82
"org:apache:commons:math:estimation:WeightedMeasurement",6,6,83,100,114,3,7,1.0,1.0,1.0,1.0,1.0,1.0
"org:apache:commons:math:fraction:AbstractFormat",11,1,100,100,100,2,18,0.868421052631579,0.8571428571428571,0.75,0.7368421052631579,0.8461538461538461,1.0
"org:apache:commons:math:fraction:BigFraction",16,0,10,20,2,2,89,0.9326923076923077,0.9130434782608695,0.9047619047619048,0.8762886597938144,0.8909090909090909,0.71
"org:apache:commons:math:fraction:BigFractionField",5,0,0,0,0,0,5,1.0,1.0,1.0,1.0,1.0,0.0
"org:apache:commons:math:fraction:BigFractionFormat",19,0,0,0,0,0,26,0.8688524590163934,0.8724279835390947,0.9047619047619048,0.72,0.6428571428571429,0.58
"org:apache:commons:math:fraction:Fraction",14,0,10,19,1,2,68,0.9761904761904762,0.972972972972973,0.925531914893617,0.9102564102564102,1.0,0.85
"org:apache:commons:math:fraction:FractionConversionException",4,0,0,0,0,0,2,1.0,1.0,1.0,1.0,1.0,0.0
"org:apache:commons:math:fraction:FractionField",5,0,0,0,0,0,5,1.0,1.0,1.0,1.0,1.0,0.0
"org:apache:commons:math:fraction:FractionFormat",17,0,0,0,0,0,23,0.8148148148148148,0.8373205741626795,0.9230769230769231,0.6666666666666666,0.5714285714285714,0.58
"org:apache:commons:math:fraction:ProperBigFractionFormat",12,0,0,0,0,1,21,0.8656716417910447,0.8805309734513275,0.8518518518518519,0.7619047619047619,0.8571428571428571,0.62
"org:apache:commons:math:fraction:ProperFractionFormat",11,0,0,0,0,1,18,0.8571428571428571,0.867579908675799,0.7894736842105263,0.7058823529411765,0.8571428571428571,0.69
"org:apache:commons:math:genetics:ChromosomePair",3,0,50,67,25,2,4,0.8571428571428571,0.5,1.0,0.75,0.75,0.0
"org:apache:commons:math:geometry:CardanEulerSingularityException",3,0,0,0,0,0,2,1.0,1.0,1.0,1.0,1.0,0.0
"org:apache:commons:math:geometry:NotARotationMatrixException",4,0,0,0,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0
"org:apache:commons:math:geometry:Rotation",10,0,19,13,143,4,63,1.0,1.0,0.9508196721311475,0.927710843373494,1.0,0.87
"org:apache:commons:math:geometry:RotationOrder",3,6,100,100,125,4,5,1.0,1.0,1.0,1.0,1.0,1.0
"org:apache:commons:math:geometry:Vector3D",8,0,16,18,54,3,46,0.9304347826086956,0.9276729559748428,0.625,0.7166666666666667,0.8888888888888888,0.73
"org:apache:commons:math:geometry:Vector3DFormat",14,7,81,74,336,7,26,0.7464788732394366,0.7973421926910299,0.6666666666666666,0.5769230769230769,0.6470588235294118,0.71
"org:apache:commons:math:linear:AbstractFieldMatrix",37,0,0,0,0,1,164,0.8743589743589744,0.8522448979591837,0.8378378378378378,0.8313953488372093,0.9344262295081968,1.0
"org:apache:commons:math:linear:AbstractRealMatrix",26,0,0,0,0,1,148,0.8128491620111732,0.7997145575642245,0.7731958762886598,0.7581699346405228,0.8035714285714286,1.0
"org:apache:commons:math:linear:Array2DRowFieldMatrix",19,0,0,0,0,1,87,0.8398058252427184,0.8192090395480226,0.8936170212765957,0.8271604938271605,0.8529411764705882,0.76
"org:apache:commons:math:linear:Array2DRowRealMatrix",16,0,0,0,0,1,87,0.8883495145631068,0.8560606060606061,0.925531914893617,0.9012345679012346,0.9411764705882353,0.76
"org:apache:commons:math:linear:BiDiagonalTransformer",5,0,59,63,173,6,64,0.9806451612903225,0.9868020304568528,0.9363636363636364,0.8461538461538461,0.7,0.93
"org:apache:commons:math:linear:BigMatrixImpl",18,0,80,80,112,6,188,0.8323353293413174,0.8347670250896058,0.8508064516129032,0.8162162162162162,0.8360655737704918,0.63
"org:apache:commons:math:linear:BlockFieldMatrix",26,0,37,52,93,5,193,0.8601398601398601,0.865491858130716,0.8712121212121212,0.8804347826086957,0.9615384615384616,0.95
"org:apache:commons:math:linear:BlockRealMatrix",17,0,38,53,87,5,202,0.9410150891632373,0.9335407868415203,0.9496402877697842,0.9430051813471503,0.9814814814814815,0.94
"org:apache:commons:math:linear:CholeskyDecompositionImpl",10,0,58,66,74,3,44,1.0,1.0,1.0,1.0,1.0,0.85
"org:apache:commons:math:linear:DefaultFieldMatrixChangingVisitor",6,0,0,0,0,1,4,0.8333333333333334,0.8333333333333334,1.0,0.75,0.75,0.0
"org:apache:commons:math:linear:DefaultFieldMatrixPreservingVisitor",6,0,0,0,0,1,4,0.8333333333333334,0.9090909090909091,1.0,0.75,0.75,0.0
"org:apache:commons:math:linear:DefaultRealMatrixChangingVisitor",5,0,0,0,0,0,3,0.75,0.75,1.0,0.75,0.75,0.0
"org:apache:commons:math:linear:DefaultRealMatrixPreservingVisitor",5,0,0,0,0,0,3,0.75,0.8571428571428571,1.0,0.75,0.75,0.0
